theta_deg,ptx_sat_dbm,slant_km,fspl_db,gt_dbi,perdida_atm_db,I_teorico_dbm,I_SHARC_P619_dbm,IN_db,INI_db,CI_db,CNI_db
50,34,649.223,147.664,15.0,0.039,-105.664,-105.703,-6.703,-7.544,31.403,23.859
50,31,649.223,147.664,15.0,0.039,-108.664,-108.703,-9.703,-10.145,34.403,24.258
50,28,649.223,147.664,15.0,0.039,-111.664,-111.703,-12.703,-12.93,37.403,24.473
50,25,649.223,147.664,15.0,0.039,-114.664,-114.703,-15.703,-15.818,40.403,24.585
50,22,649.223,147.664,15.0,0.039,-117.664,-117.703,-18.703,-18.761,43.403,24.642
50,19,649.223,147.664,15.0,0.039,-120.664,-120.703,-21.703,-21.732,46.403,24.671
50,16,649.223,147.664,15.0,0.039,-123.664,-123.703,-24.703,-24.717,49.403,24.685
50,13,649.223,147.664,15.0,0.039,-126.664,-126.703,-27.703,-27.71,52.403,24.693
50,10,649.223,147.664,15.0,0.039,-129.664,-129.703,-30.703,-30.706,55.403,24.696
50,7,649.223,147.664,15.0,0.039,-132.664,-132.703,-33.703,-33.705,58.403,24.698
50,4,649.223,147.664,15.0,0.039,-135.664,-135.703,-36.703,-36.704,61.403,24.699
50,1,649.223,147.664,15.0,0.039,-138.664,-138.703,-39.703,-39.703,64.403,24.7
60,43,581.794,146.711,11.25,0.0345,-99.461,-99.496,-0.496,-3.265,25.196,21.93
60,40,581.794,146.711,11.25,0.0345,-102.461,-102.496,-3.496,-5.101,28.196,23.095
60,37,581.794,146.711,11.25,0.0345,-105.461,-105.496,-6.496,-7.374,31.196,23.822
60,34,581.794,146.711,11.25,0.0345,-108.461,-108.496,-9.496,-9.958,34.196,24.238
60,31,581.794,146.711,11.25,0.0345,-111.461,-111.496,-12.496,-12.734,37.196,24.462
60,28,581.794,146.711,11.25,0.0345,-114.461,-114.496,-15.496,-15.617,40.196,24.579
60,25,581.794,146.711,11.25,0.0345,-117.461,-117.496,-18.496,-18.557,43.196,24.639
60,22,581.794,146.711,11.25,0.0345,-120.461,-120.496,-21.496,-21.526,46.196,24.669
60,19,581.794,146.711,11.25,0.0345,-123.461,-123.496,-24.496,-24.511,49.196,24.685
60,16,581.794,146.711,11.25,0.0345,-126.461,-126.496,-27.496,-27.503,52.196,24.692
60,13,581.794,146.711,11.25,0.0345,-129.461,-129.496,-30.496,-30.5,55.196,24.696
60,10,581.794,146.711,11.25,0.0345,-132.461,-132.496,-33.496,-33.498,58.196,24.698
60,7,581.794,146.711,11.25,0.0345,-135.461,-135.496,-36.496,-36.497,61.196,24.699
60,4,581.794,146.711,11.25,0.0345,-138.461,-138.496,-39.496,-39.496,64.196,24.7
60,1,581.794,146.711,11.25,0.0345,-141.461,-141.496,-42.496,-42.496,67.196,24.7
70,43,540.092,146.065,7.5,0.0318,-102.565,-102.597,-3.597,-5.171,28.297,23.126
70,40,540.092,146.065,7.5,0.0318,-105.565,-105.597,-6.597,-7.457,31.297,23.84
70,37,540.092,146.065,7.5,0.0318,-108.565,-108.597,-9.597,-10.049,34.297,24.248
70,34,540.092,146.065,7.5,0.0318,-111.565,-111.597,-12.597,-12.829,37.297,24.468
70,31,540.092,146.065,7.5,0.0318,-114.565,-114.597,-15.597,-15.715,40.297,24.582
70,28,540.092,146.065,7.5,0.0318,-117.565,-117.597,-18.597,-18.657,43.297,24.64
70,25,540.092,146.065,7.5,0.0318,-120.565,-120.597,-21.597,-21.627,46.297,24.67
70,22,540.092,146.065,7.5,0.0318,-123.565,-123.597,-24.597,-24.612,49.297,24.685
70,19,540.092,146.065,7.5,0.0318,-126.565,-126.597,-27.597,-27.605,52.297,24.692
70,16,540.092,146.065,7.5,0.0318,-129.565,-129.597,-30.597,-30.601,55.297,24.696
70,13,540.092,146.065,7.5,0.0318,-132.565,-132.597,-33.597,-33.599,58.297,24.698
70,10,540.092,146.065,7.5,0.0318,-135.565,-135.597,-36.597,-36.598,61.297,24.699
70,7,540.092,146.065,7.5,0.0318,-138.565,-138.597,-39.597,-39.597,64.297,24.7
70,4,540.092,146.065,7.5,0.0318,-141.565,-141.597,-42.597,-42.597,67.297,24.7
70,1,540.092,146.065,7.5,0.0318,-144.565,-144.597,-45.597,-45.597,70.297,24.7
80,43,517.272,145.69,3.75,0.0304,-105.94,-105.971,-6.971,-7.766,31.671,23.905
80,40,517.272,145.69,3.75,0.0304,-108.94,-108.971,-9.971,-10.387,34.671,24.283
80,37,517.272,145.69,3.75,0.0304,-111.94,-111.971,-12.971,-13.184,37.671,24.486
80,34,517.272,145.69,3.75,0.0304,-114.94,-114.971,-15.971,-16.079,40.671,24.592
80,31,517.272,145.69,3.75,0.0304,-117.94,-117.971,-18.971,-19.025,43.671,24.645
80,28,517.272,145.69,3.75,0.0304,-120.94,-120.971,-21.971,-21.998,46.671,24.672
80,25,517.272,145.69,3.75,0.0304,-123.94,-123.971,-24.971,-24.984,49.671,24.686
80,22,517.272,145.69,3.75,0.0304,-126.94,-126.971,-27.971,-27.977,52.671,24.693
80,19,517.272,145.69,3.75,0.0304,-129.94,-129.971,-30.971,-30.974,55.671,24.697
80,16,517.272,145.69,3.75,0.0304,-132.94,-132.971,-33.971,-33.972,58.671,24.698
80,13,517.272,145.69,3.75,0.0304,-135.94,-135.971,-36.971,-36.971,61.671,24.699
80,10,517.272,145.69,3.75,0.0304,-138.94,-138.971,-39.971,-39.971,64.671,24.7
80,7,517.272,145.69,3.75,0.0304,-141.94,-141.971,-42.971,-42.971,67.671,24.7
80,4,517.272,145.69,3.75,0.0304,-144.94,-144.971,-45.971,-45.971,70.671,24.7
80,1,517.272,145.69,3.75,0.0304,-147.94,-147.971,-48.971,-48.971,73.671,24.7
90,43,510.0,145.567,0.0,0.0299,-109.567,-109.597,-10.597,-10.96,35.297,24.337
90,40,510.0,145.567,0.0,0.0299,-112.567,-112.597,-13.597,-13.783,38.297,24.514
90,37,510.0,145.567,0.0,0.0299,-115.567,-115.597,-16.597,-16.691,41.297,24.606
90,34,510.0,145.567,0.0,0.0299,-118.567,-118.597,-19.597,-19.644,44.297,24.653
90,31,510.0,145.567,0.0,0.0299,-121.567,-121.597,-22.597,-22.621,47.297,24.676
90,28,510.0,145.567,0.0,0.0299,-124.567,-124.597,-25.597,-25.609,50.297,24.688
90,25,510.0,145.567,0.0,0.0299,-127.567,-127.597,-28.597,-28.603,53.297,24.694
90,22,510.0,145.567,0.0,0.0299,-130.567,-130.597,-31.597,-31.6,56.297,24.697
90,19,510.0,145.567,0.0,0.0299,-133.567,-133.597,-34.597,-34.599,59.297,24.698
90,16,510.0,145.567,0.0,0.0299,-136.567,-136.597,-37.597,-37.598,62.297,24.699
90,13,510.0,145.567,0.0,0.0299,-139.567,-139.597,-40.597,-40.597,65.297,24.7
90,10,510.0,145.567,0.0,0.0299,-142.567,-142.597,-43.597,-43.597,68.297,24.7
90,7,510.0,145.567,0.0,0.0299,-145.567,-145.597,-46.597,-46.597,71.297,24.7
90,4,510.0,145.567,0.0,0.0299,-148.567,-148.597,-49.597,-49.597,74.297,24.7
90,1,510.0,145.567,0.0,0.0299,-151.567,-151.597,-52.597,-52.597,77.297,24.7
