theta_deg,ptx_sat_dbm,slant_km,fspl_db,gt_dbi,perdida_atm_db,I_teorico_dbm,I_SHARC_P619_dbm,IN_db,INI_db,CI_db,CNI_db
20,13,1213.129,153.094,26.25,0.087,-120.844,-120.931,-21.931,-21.959,55.901,33.942
20,10,1213.129,153.094,26.25,0.087,-123.844,-123.931,-24.931,-24.945,58.901,33.956
20,7,1213.129,153.094,26.25,0.087,-126.844,-126.931,-27.931,-27.938,61.901,33.963
20,4,1213.129,153.094,26.25,0.087,-129.844,-129.931,-30.931,-30.934,64.901,33.966
20,1,1213.129,153.094,26.25,0.087,-132.844,-132.931,-33.931,-33.933,67.901,33.968
30,43,926.182,150.75,22.5,0.0597,-92.25,-92.309,6.691,-0.843,27.279,26.436
30,40,926.182,150.75,22.5,0.0597,-95.25,-95.309,3.691,-1.546,30.279,28.733
30,37,926.182,150.75,22.5,0.0597,-98.25,-98.309,0.691,-2.679,33.279,30.600
30,34,926.182,150.75,22.5,0.0597,-101.25,-101.309,-2.309,-4.317,36.279,31.963
30,31,926.182,150.75,22.5,0.0597,-104.25,-104.309,-5.309,-6.43,39.279,32.849
30,28,926.182,150.75,22.5,0.0597,-107.25,-107.309,-8.309,-8.907,42.279,33.372
30,25,926.182,150.75,22.5,0.0597,-110.25,-110.309,-11.309,-11.619,45.279,33.660
30,22,926.182,150.75,22.5,0.0597,-113.25,-113.309,-14.309,-14.468,48.279,33.812
30,19,926.182,150.75,22.5,0.0597,-116.25,-116.309,-17.309,-17.389,51.279,33.890
30,16,926.182,150.75,22.5,0.0597,-119.25,-119.309,-20.309,-20.35,54.279,33.930
30,13,926.182,150.75,22.5,0.0597,-122.25,-122.309,-23.309,-23.33,57.279,33.950
30,10,926.182,150.75,22.5,0.0597,-125.25,-125.309,-26.309,-26.32,60.279,33.960
30,7,926.182,150.75,22.5,0.0597,-128.25,-128.309,-29.309,-29.315,63.279,33.965
30,4,926.182,150.75,22.5,0.0597,-131.25,-131.309,-32.309,-32.312,66.279,33.967
30,1,926.182,150.75,22.5,0.0597,-134.25,-134.309,-35.309,-35.311,69.279,33.969
40,43,755.489,148.98,18.75,0.0465,-94.23,-94.277,4.723,-1.261,29.247,27.986
40,40,755.489,148.98,18.75,0.0465,-97.23,-97.277,1.723,-2.234,32.247,30.013
40,37,755.489,148.98,18.75,0.0465,-100.23,-100.277,-1.277,-3.695,35.247,31.551
